Time_taken, Dev_set_loss, Train_set_loss, Train_loss, Context_length, Embedding_dim, Hidden_neurons
32.78 seconds, 7.004359245300293, 6.88996696472168, 6.90673828125, 4, 17, 350
33.06 seconds, 7.442063331604004, 7.306469440460205, 8.599145889282227, 4, 17, 400
33.33 seconds, 7.7746100425720215, 7.730733871459961, 7.761329650878906, 4, 17, 450
33.66 seconds, 7.784687519073486, 7.699558258056641, 7.055483341217041, 4, 17, 500
33.79 seconds, 3.717801332473755, 3.7031192779541016, 3.0212748050689697, 4, 18, 50
33.93 seconds, 4.588920593261719, 4.537582874298096, 5.269904136657715, 4, 18, 100
34.09 seconds, 5.053946495056152, 5.003786087036133, 5.4662041664123535, 4, 18, 150
34.26 seconds, 5.644549369812012, 5.628064155578613, 4.562743186950684, 4, 18, 200
34.44 seconds, 6.311656475067139, 6.21657657623291, 6.8483500480651855, 4, 18, 250
34.65 seconds, 6.590454578399658, 6.5080485343933105, 6.608303546905518, 4, 18, 300
34.87 seconds, 7.117582321166992, 6.917348861694336, 6.819611549377441, 4, 18, 350
35.09 seconds, 7.398059844970703, 7.354644775390625, 4.784660816192627, 4, 18, 400
35.39 seconds, 7.574306488037109, 7.469408988952637, 5.426886558532715, 4, 18, 450
35.70 seconds, 8.166969299316406, 8.055346488952637, 11.512452125549316, 4, 18, 500
35.82 seconds, 3.706163167953491, 3.6890385150909424, 2.935532331466675, 4, 19, 50
35.97 seconds, 4.501189708709717, 4.465775012969971, 4.166121482849121, 4, 19, 100
36.13 seconds, 5.408313274383545, 5.348328590393066, 5.199312210083008, 4, 19, 150
36.30 seconds, 6.0395588874816895, 5.9880051612854, 4.81749153137207, 4, 19, 200
36.49 seconds, 6.2353901863098145, 6.179366588592529, 5.50109338760376, 4, 19, 250
36.69 seconds, 6.652899742126465, 6.552681922912598, 7.616219520568848, 4, 19, 300
36.95 seconds, 7.068690776824951, 7.05382776260376, 5.128900051116943, 4, 19, 350
37.24 seconds, 7.750413417816162, 7.640321254730225, 5.250838279724121, 4, 19, 400
37.51 seconds, 8.172236442565918, 8.08907699584961, 8.313216209411621, 4, 19, 450
37.77 seconds, 8.078194618225098, 7.990084171295166, 7.2704758644104, 4, 19, 500
0.36 seconds, 2.5553691387176514, 2.5648419857025146, 2.4071731567382812, 5, 1, 50
0.49 seconds, 2.5476202964782715, 2.55940580368042, 2.2063658237457275, 5, 1, 100
0.64 seconds, 2.6191513538360596, 2.616596221923828, 2.923496961593628, 5, 1, 150
0.80 seconds, 2.592742919921875, 2.599358320236206, 2.774631977081299, 5, 1, 200
0.97 seconds, 2.622504949569702, 2.6245906352996826, 2.671164035797119, 5, 1, 250
1.16 seconds, 2.5393028259277344, 2.5499160289764404, 2.3830225467681885, 5, 1, 300
1.36 seconds, 2.530149459838867, 2.538662910461426, 2.6882801055908203, 5, 1, 350
1.56 seconds, 2.559173107147217, 2.5673279762268066, 2.2625815868377686, 5, 1, 400
1.80 seconds, 2.544712781906128, 2.5544755458831787, 2.7092275619506836, 5, 1, 450
2.05 seconds, 2.547428607940674, 2.565167188644409, 2.8753414154052734, 5, 1, 500
2.17 seconds, 2.6418612003326416, 2.6492466926574707, 2.919102191925049, 5, 2, 50
2.30 seconds, 2.703021764755249, 2.7078800201416016, 2.648617744445801, 5, 2, 100
2.45 seconds, 2.6425864696502686, 2.6548073291778564, 2.8718316555023193, 5, 2, 150
2.60 seconds, 2.7194056510925293, 2.7335472106933594, 2.25628662109375, 5, 2, 200
2.78 seconds, 2.577484607696533, 2.582616090774536, 2.408315896987915, 5, 2, 250
